Player, Games,/dgs/assets/icons/kills.svg Kills,/dgs/assets/icons/assists.svg Assists,/dgs/assets/icons/knockdown.svg Knocks,/dgs/assets/icons/damage.svg Dmg dealt,/dgs/assets/icons/damage.svg Dmg taken,/dgs/assets/icons/damage.svg Dmg diff,/dgs/assets/icons/ring.svg Ring dmg,/dgs/assets/icons/revives.svg Rez.,/dgs/assets/icons/revives.svg Rspn.,K/D,KA/D,Surv. time
MST Wxltzy,34,74,66,89,35941,30415,5526,2162,7,0,2.0,3.78,10h 20m 23s
ALL Unlucky,40,73,56,81,28722,24712,4010,2999,7,1,1.78,3.15,10h 28m 33s
ALL TylerFPS,40,66,61,84,25780,25051,729,1009,9,1,1.61,3.1,10h 18m 1s
MST Gild,34,63,55,76,35345,23380,11965,2297,6,0,1.8,3.37,10h 21m 14s
COL Lou,40,63,49,80,32136,29927,2209,1273,11,0,1.5,2.67,11h 37m 6s
TSM zap,34,60,64,73,32974,23944,9030,1715,2,2,1.76,3.65,10h 24m 16s
FNC YukaF,40,59,52,69,31410,27610,3800,2995,15,1,1.48,2.78,11h 27m 2s
GG Blasts,34,59,41,70,22686,25796,-3110,800,5,0,2.03,3.45,10h 54m 42s
DF iHateTheWorld,34,58,28,64,28963,22824,6139,1567,3,0,1.71,2.53,9h 14m 45s
GLD Legacy,40,57,33,65,23057,25791,-2734,1670,5,1,1.12,1.76,11h 50m 11s
TSM Verhulst,34,57,51,66,28927,21667,7260,1793,8,2,1.73,3.27,10h 27m 51s
SSG Koyful,34,55,50,63,27971,17988,9983,1419,5,1,1.83,3.5,9h 32m 45s
EXO Feuda,40,51,39,56,25884,24847,1037,495,10,0,1.16,2.05,10h 28m 58s
MST iiTzTimmy,34,50,87,54,25198,19063,6135,2048,10,9,1.56,4.28,10h 20m 14s
BLD Dropped,34,50,29,56,20026,23718,-3692,1230,2,1,1.61,2.55,10h 34m 7s
FLCN Imperialhal,34,49,38,56,23813,22728,1085,769,12,1,1.58,2.81,9h 11m 18s
NOC RemixPowers,40,48,40,54,22325,24601,-2276,512,11,1,1.14,2.1,10h 23m 58s
GG lighT,34,47,60,57,29993,29859,134,519,4,2,1.57,3.57,10h 51m 17s
